id,title,obj_type,obj_type_id,Identifier,Collection,Dimensions,Creation dates,created by,Description,Subjects,Subject,Related Collection,Link,distributed by,published by,published in association with,illustrated by,text by,Library of Congress Subject Headings,contributor,created for,was located at,originates from,Publication dates,was created in,designed by,printed by,describes,inspired by,Affiliation with Center for Book Arts,depicts,bound by,created at,typesetting by,Copyright dates,Highlight of,printed under the direction of,also created by,paper made by,typography by,edited by,donated by,drawings by,etchings by,enclosure by,CBA course taught by,photographs by,Unnamed: 48,funded by,text translated by,introduction written by,gift of,cover art by,influenced by,is about,foreword by,woodcuts created by,Submission dates,layout by,lithographs by,commissioned by,introduction by,Related Collections,preface by,calligraphy by,originally published by,owned by
5906,7 Miles a Second,Books,177,FA.B115.1941,Fine Art Collection,9 x 12 in; 22.86 x 30.48 cm,2012,,"Artists' book depicting the early life of David Wojnarowicz in comic form. 68 pages. Full color. 9 x 12 inches. Hardcover. ""'7 Miles a Second' is the story of legendary artist David Wojnarowicz, written during the last years before his AIDS-related death in 1992. Artists James Romberger and Marguerite Van Cook unsentimentally depict Wojnarowicz's childhood of hustling on the streets of Manhattan, through his adulthood living with AIDS, and his anger at the indifference of government and health agencies. A primal scream of a graphic novel, 7 Miles a Second blends the stark reality of Lower East Side street life with a psychedelic delirium that artfully conveys Wojnarowicz's sense of rage, urgency, mortality and a refusal to be silent. ""Originally published as a comic book in 1996 by DC's Vertigo Comics, '7 Miles a Second' was an instant critical success and has become a cult classic amongst fans of literary and art comics, just as Wojnarowicz's influence and reputation have widened in the larger art world. This new edition finally presents the artwork as it was intended: oversized, and with Van Cook's elegant watercolors restored. It also includes several new pages created for this edition."" -- publisher's note","['autobiography', 'comics']",,,Publisher's website,,Fantagraphics,,"['James Romberger', 'Marguerite Van Cook']",David Wojnarowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4739,7 Nights: 28 Poets,Books,177,FA.OSB4.1950,Fine Art Collection,9.2 x 6.3 in; 23.25 x 16 cm,2014,,"Collaborative broadside reading series in honor of the 40th anniversary of the Center for Book Arts. CBA copy 1 of 2. Edition 1 of 40. Each broadside is signed by the poets. Artists include: Barbara Henry, Amber McMillan, Richard O'Russa, Elizabeth Sheehan, Sara Parkel, Jeffrey Peterson, Nancy Loeber, Lee Marchalonis, MC Hyland, Champe Smith, Kyle Holland, Delphi Basilicato, Julie Schumacher Grubss, and James Walsh. Poets include: Jeanne Marie Beaumont and Karen Garthe; Lydia Cortes and Scott Hightower; Marcella Durand and Rachel Levitsky; Thomas Sayers Ellis and Rodrigo Toscano; Kimiko Hahn and Joy Katz; Kristin Prevallet and Edwin Torres; Anselm Berrigan and LaTasha Diggs; Dean Kostos and Sharon Mesmer; Jen Bervin and Genine Lentine; Patricia Spears Jones and Ada Limon; Amanda Deutch and Matthew Thorburn; Krystal Languell and John Yau; Peter Covino and Christopher Stackhouse; Sharon Dolin and Evie Shockley.","['anniversaries', 'broadsides', 'letterpress printing', 'poetry']",,,,,,"['Center for Book Arts Broadsides Reading Series', 'Center for Book Arts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,7. Strip,Pamphlet bindings,184,FA.B45.0590,Fine Art Collection,5 leaves; 14.9 x 11.5 cm,2001,,"Commercially printed, color offset booklet with metal loop binding. Content consists of a short story and various essays and commentary--""Strip"", Patricia Hempl--a written response to Edward Ruscha's ""Every Building on the Sunset Strip"", by Visual Arts Associate Curator Siri Engberg--film notes on Maya Deren's ""Meshes of the Afternoon"", by Film/Video Associate Curator, Shervyl Mousley, and a list of ""Some books you might enjoy: ""John Dos Pasos, ""Manhattan Transfer"" (1925)--James Baldwin, ""Another Country"" (1962)--Jacqueline Susann, ""Valley of the Dolls"" (1967)--William S. Burroughs, ""The Wild Boys: A Book of the Dead"" (1971)--Charles Bukowski, ""Hollywood"" (1989). ""Strip""-- American Tableau Number 7, May 2002.",,,,,,Walker Art Center,Exhibition American Tableaux,,"['Patricia Hampl', 'Siri Engberg', 'Sheryl Mousley']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340,9-2012,Books,177,FA.SA1.1524,Fine Art Collection,,NA,Norman Shapiro,"A daily sketchbook and journal of the artist dating from September 02, 2012 - December 11, 2012. Each page contains a separate sketch marked with date, time the sketch began along with the zip-code of where the entry took place. One of three sketchbooks of the artist held by The Center for Book Arts.","['daily reports', 'diaries', 'sketchbooks']",,,,,,,,,"Artists' books, Sketchbooks & albums",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,10 Maps for the Eternal Network,Mail Art,34245,FA.B63.0947,Fine Art Collection,12 sheets : ill. ; 30 x 21 cm,NA,Vittore Baroni,"Mail art piece created by the artist upon invitation by Anna Banana on occasion of The Center for Book Art's exhibition, ""Mapping Correspondence: Mail Art in the 21st Century"". Graphics and text photocopied, front and back, on twelve loose sheets of various colored card stock. Signed by the artist. Each map is titled and numbered, with contributing artists noted: Map 1, Before and After Mail Art; Vittore Baroni / Map 2, Organic Tree of Creative Networking; Vittore Baroni / Map 3, Networker Logo; Vittore Baroni & Gianluca Lerici / Map 4, Mail Art Synopsis; Vittore Baroni / Map 5, Decentralized World-Wide Networker Congress Signpost; Vittore Baroni, Mark Pawson, HR Fricker, Peter Kaufmann / Map 6, Art in Europe; Piermario Ciani / Map 7, Mail Art Elephant; Emilio Morandi / Map 8, Mail Art Street Map; FaGaGaGa / Map 9, Planet Mailo; Keith Bates / Map 10, Dodo not Dada; Vittore Baroni.","['mail art', 'photocopying']",,,,,,,,,,"['Gianluca Lerici', 'Mark Pawson', 'H. R. Fricker', 'Peter Kaufmann', 'Piermario Ciani', 'Emilio Morandi', 'FaGaGaGa', 'Keith Bates']",Mapping Correspondence: Mail Art in the 21st Century,Center for Book Arts Collection Place Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,10 Myths About Modern Men,Books,177,FA.B10.0103,Fine Art Collection,16.8 x 12.7 cm,1993,James Prez,"Small booklet with staple fold binding; contains black and white photocopies of vintage ""beefcake"" photos of naked men, accompanied by handwritten text. The ten myths were taken from an issue of Cosmopolitan magazine. Booklet is housed in a brown paper bag that has a tipped in photocopy of the U.S. Postal code statutes regarding ""Lewd and Filthy Matter (18 USC 1461, 1463)"".","[""artists' books"", 'copy art', 'pamphlet bindings', 'pornography']",,,,,Down-South Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5633,"10th Annual Book Arts Fair : Sunday, December 4 [1994] : 10 am to 5 pm : Deomonstrations of Printing, Typesetting, Bookbinding, Papermaking, &c. : Exhibitions of Hand Printed Books & Broadsheets, Fine Binding & Other Book Arts, in the Printmaking Department & Auditorium of Ontario College of Art ...",Broadsides,192,FA.FFS29.3287,Fine Art Collection,"42 x 20 cm;  16.5"" x 7.75""",1994,Ontario College of Art. Print Making Department,"A letterpress printed broadside, printed in black, advertising the 10th annual Book Arts Fair at the Ontario College of Art in Toronto, Ontario. The broadside is decorated with two images of printers at work. The remainder of the text lists the address of the Ontario College of Art, and the sponsor of the fair. CBA has one copy, this is copy 1.","['broadsides', 'letterpress printing']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,11 Eleven,Pamphlet bindings,184,FA.B46.0714,,11 leaves; 9 x 23 cm,2001,"['Dawn Bennett', 'Ayana Evans', 'Linda Fuelling', 'Jessica Partricia Keefe', ""Robbin O'Harrow"", 'Pamela Paulsrud', 'Karen Phipps', 'Julia Rooney', 'Nicole C. Russell', 'Jamie Lou Thome', 'Jessica Wright']","Number 23 in an Edition of 50. Collaborative artists' book with vellum front cover and red card stock rear cover; bound with two silver grommets. Book features original artwork by Dawn Bennett, Ayana Evans, Linda Fuelling, Jessica Patricia Keefe, Robbin O'Harrow, Pamela Paulsrud, Karen Phipps, Julia Rooney, Nicole C. Russell, Jamie Lou Thome, and Jessica Wright, participants in the Artemisia Gallery mentorship program; produced in conjunction with the Emerging Artists Exhibition, ""11 Eleven"", held at the Artemisia Gallery from July 5-28, 2001. Artwork includes photograph, photo collage, ink and watercolor sketch, block print, pastepaper, pattern for a three-dimensional tent figure, a time card with title ""A Story from Home.""",,,,,,Artemisia Gallery,,,,,,,,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7735,14 years old & the world & borders,Books,177,FA.B123.2499,Fine Art Collection,79 pages : illustrations ; 21.5 cm,NA,Shitamichi Motoyuki,"Swiss bound, fold-out pages.","['adolescents', 'boundaries', 'newspapers']",,,Project on artist's website,,,,,,,,,,,2019,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,19 in 2021 Part 1,Zines,194,FA.PC9.4300,Fine Art Collection,68 pages : some color illustrations ; 19 cm,NA,Nat Pyper,Softcover. Staple bound (saddle stitched). Risograph printed.,,,Christopher Kardambikis' Paper Cuts Zine Collection,"[""Artist's Website"", ""Item on Publisher's Website""]",,Martian Press,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8149,19 in 2021 Part 2,Zines,194,FA.PC9.4299,Fine Art Collection,72 pages : some illustrations ; 19 cm,NA,Nat Pyper,Softcover. Staple bound (saddle stitched). Risograph printed. Includes 20.5 cm x 7.5 cm bookmark color printed with a timeline.,,,Christopher Kardambikis' Paper Cuts Zine Collection,"[""Artist's Website"", ""Item on Publisher's Website""]",,Martian Press,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6937,19th Century Well(s) Woman Vision Board,Broadsides,192,FA.OSB2.1841.2,Fine Art Collection,,2017,,Letterpress printed poem by Janice A. Lowe. Created as part of the 2017 Center for Book Arts Broadside Reading Series and printed in honor of the poet's reading at the Center. Designed and printed by Richard O'Russa in an edition of 100. Signed by the poet.,"['Broadsides to move', 'letterpress printing', 'poetry']",,,,,,Center for Book Arts Broadsides Reading Series,,Janice A. Lowe,,,,,,,,Richard O'Russa,Richard O'Russa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5718,20 Half Truths [accordion book],Accordion books,185,FA.OSS4.2104.8,Fine Art Collection,5 x 7 in; 12.7 x 17.78 cm,2015,Brad Thiele,Accordion book with letterpress printing on found paper. Edition number 12 of 20. Signed by the artist.,"['Accordion books', 'letterpress printing']",,,Artist's website,,,Center for Book Arts Workspace Artist-in-Residence 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5716,20 Half Truths [cut-outs],Prints,191,FA.OSS4.2104.6,Fine Art Collection,2.25 h x 3.5 w x 0.25 in; 5.715 x 8.89 x 0.635 cm,2016,Brad Thiele,Letterpress printing on salvaged papers with letters cut out by hand. Edition of 10.,"['cut-paper work', 'cutouts', 'letterpress printing']",,,Artist's website,,,Center for Book Arts Workspace Artist-in-Residence 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8022,20 Regles et techniques utilisees en 1972 par un enfant de 9 ans,Books,177,FA.B131.3066,Fine Art Collection,[48] pages : illustrations ; 18 cm.,NA,Christian Boltanski,Softcover.,,,,,,Berg,Daner Galleriet,,,Children in art,,,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8183,22 Unrealized Public Project Proposals,Chapbooks,198,FA.B132.3112,Fine Art Collection,5.5 in x 8.5 in,NA,Temporary Services,Staple-bound (saddle stitch) pamphlet. Offset printed. Edition of 1000.,,public art,,on Half Letter Press Website,,Half Letter Press,,Kione Kochi,,,,,,,2023,Chicago,,,New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7976,24 Dessins Isométriques: Afrique Cubique,Books,177,FA.SA5.3044,Fine Art Collection,11.4×12.9 in. (29×33 cm),NA,Jonathan Monk,Edition 4 of 20 plus 4 artist's proofs and 5 hors commerce. Signed,,,,,,Three Star Books,,,,,,,,,2017,,,,,Sol Lewitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5111,24 Ideas About Pictures,Books,177,FA.B110.2030,Fine Art Collection,11.1 x 8.5 in; 28 x 21.5 cm,2008,Paul Zelevansky,"Perfect binding paperback offset printed in black and white. 100 pages. 28 x 21.5 cm. Published by Great Blankness Press in 2008. ""24 Ideas About Pictures is a 21st century primer made up of 24 visual/verbal propositions about the grammar, meaning and metaphysics of pictures. Utilizing a step-by-step structure in which each lesson builds upon those that precede it, Zelevansky's book considers what makes pictures --in collusion and competition with words -- alternatively powerful and unreliable as representations of reality. 24 Ideas About Pictures incorporates an eclectic mix of examples with an emphasis on commonplace images (clip art, postcards, family, snapshots, road signs, puzzles and games) whose stereotypical forms and meanings are so mundane as to recede in the background of daily life. Pictures look like us, flatter our assumptions and fuel the market as products and ideas, but more fundamentally they are a form of currency that allows us to barter and exchange our beliefs, hopes and fears."" -- printedmatter.org",,,,Digital version,,Great Blankness Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7205,24 Ideas About Pictures,Perfect bindings,182,FA.B122.2426,Fine Art Collection,8.5 x 11 in,2019,Paul Zelevansky,Second edition edited and updated in 2019. Perfect bindings with a glossy cover. Offset printed in black and white.,"['essays', 'perfect bindings']",,,,,Great Blankness Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,29 [Untitled Drawings],Books,177,FA.B93.1430,Fine Art Collection,"1 vol., two part, unpaged : ill. ; 23 x 15 cm.",1987,Norman Shapiro,"brown paper enclosure containing two booklets with loose-leaf pen and ink gay pornographic drawings. Each drawing is signed and dated. Edition of 200, printed by xerography, 5/87. Second booklet contains artist's statement. Cover includes notation reading, ""With All My Love, Hokus Ai - N/S 5/87"".","['drawings', 'erotica', 'pornography']",,,,,Euphemisms Publishing Company,,,,,,,,,,Brightwaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5502,30 Napkins,Books,177,FA.SA7.1465,Fine Art Collection,5.25 x 5.25 x 2.25 in,2018,Ben Denzer,Hardcover bound book comprised of 30 napkins from The Plaza.,,artists' books,,,,Catalog Press,2018 Scholars for Advanced Studies in Book Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5877,32/23,Pamphlet bindings,184,FA.B9.2159,Fine Art Collection,Closed 6 x 9 in; open: 9 x 28 in; Closed: 15.24 x 22.86 cm; open: 22.86 x 71.12 cm,2019,Fabiana Ruggiero,"Stapled pamphlet binding with pages that fold out. Digitally printed. Features photographs and archival images of the United Nations complex in New York City, New York, and along with text about its architect, Oscar Niemeyer. Includes excerpts from the Brazilian architect's autobiography, ""My Architecture."" Archival images from the United Nations and The Museum of Modern Art. First edition print of 31. ""This project is about the United Nations complex in New York City, designed by the Brazilian architect Oscar Niemeyer. A Board of Design was commissioned to create a complex that would express the vision set out in the organization's Charter. Ten architects from around the world were invited, Niemeyer was the the youngest. He encountered some difficulties before joining the board and when in NY. Just like him, I am a Brazilian architect who faced obstructions in accessing this site."" -- artist's website","['architecture', 'folded books', 'pamphlet bindings', 'photography', 'staples']",,,Artist's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,32 Letters To My Dentist,Books,177,FA.SA3.1008,Fine Art Collection,Book: 43.8 x 23.3 x 2.5 cm; (9 1/8 x 17 1/4 inches); Gloves: 38.5 x 13 cm; (15 1/2 x 4 3/4 in.); X-Ray image: 8.6 x 18.6 cm; (3 1/2 x 7 1/4 in.),2001,Nicolás Dumit Estévez,"White gate fold book that contains twenty eight ""pages"" (14 per side), consisting of 18 paired envelopes (per side). Book is held closed with a white satin ribbon sash. Each envelope contains a typewritten letter from the artist to his dentist. One letter, ""To Whom it May Concern"", serves as an explanatory note about the project, ""...The following thirty two letters to my dentist, one per tooth, are a faithful testimony of a clinical relationship that like any other has had many pleasurable as well as unsavory moments..."". This book is accompanied by a pair of long, white satin gloves, and an offset print on mylar of a dental X-ray.""","[""artists' books"", 'bookworks']",,,,,,,,,,,,,,,,,,,,Center for Book Arts Workspace Arist-in-Residence 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8289,33,Books,177,FA.B134.3161,Fine Art Collection,1 volume (unpaged) : color illustrations ; 22 x 28 cm,1992,Steven McCarthy,Softcover. Spiral (coil) bound. Contains decorative translucent flyleaves and a narrative essay interspersed with manipulated photo layouts. Edition 18 of 100.,"['childhood', 'life stages', 'reminiscences']",,,Artist's website,,,,,,Nostalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,39' x 37' x 16' (approx),Pamphlet bindings,184,FA.B13.0185,,20 leaves; 20.5 x 24.8 cm (8 x 9 3/4 inches),1978,Tad Savinar,"Edition of 400; Brown craft paper wrappers. Black and white offset printed photographs and text that document Savinar's sculpture exhibition that was mounted on June 22, 1978 at And/Or Gallery. CBA copy is accompanied by a handwritten letter written by the artist with a tipped in Polaroid picture, dated 6/2/80.","['exhibition catalogs', 'offset printing', 'pamphlet bindings']",,,,,And/Or Gallery,,,,,,,,,,,,,,,,Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3466,40 Books,Coptic bindings,180,FA.SA4.1623,Fine Art Collection,15 x 15 x 6 cm,2012,Kristen Tordella-Williams,"Artists' book documenting performance imagery, research, sketches, and other studio processes. Laser-etched maple woodblock prints onto artist made paper. Repurposed woodblock covers. Coptic stitch binding. Text and images by Joseph Heller, Southbank Centre and Hayward Gallery, Doug Richmond, Louise Bourgeois, Marshall McLuhan and Quentin Fiore, Albert Camus, Lucy Lippard. First edition, 14/40.","[""Artists' books."", 'Coptic bindings', 'laser art', 'woodblocks']",,,"['Art Shape Mammoth', 'Cargo Collective']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2860,50 Caracteres,Accordion books,185,FA.B89.1347,Fine Art Collection,1 volume (unpaged) : black and white illustrations ; 17 x 12 cm,2012,Amir Brito Cadôr,"Deluxe edition, silver foil-stamped cloth, hardcover in a slip case. Offset printed accordion-fold book. Edition of 700.","['Lettering.', 'letters', 'typography']",,,,,Andante,,,,,,,,,,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,50 Drawings,Books,177,FA.B21.0356,Fine Art Collection,21 x 31 cm; 8 1/4 x 12 1/8 inches,1996,Guy Davenport,"Number 34 in an Edition of 100; case bound with black cloth and silver title/author embossing on front cover; with a buff paper, illustrated dust jacket that depicts two stylized figures in profile.",,,,,,Dim Gray Bar Press,,,,,,,,,,New York City,,Barry Magid,,,,,Campbell-Logan Bindery,Center for Book Arts,Johnathan Greene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5511,50 Mass Market Paperbacks,Books,177,FA.SA7.1468,Fine Art Collection,4.8 x 7 x 46 in.,2019,Ben Denzer,50 paperback books bound together in hardcover. (Stored in oversize location),"[""artists' books"", 'hardcover books', 'paperbacks']",,,,,Catalog Press,2018 Scholars for Advanced Studies in Book Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6216,50 Shots,Books,177,FA.B88.2297,Fine Art Collection,5.125 x 7.75 in; 13 x 19.685 cm,2008,James Prez,"Book bound with tape to commemorate the death of and dedicated to Sean Bell who was shot and killed by police in 2006 in Queens. Features reproductions of the New York Post's cover image reporting the death of Bell on each page. All thirty-six pages are punctured fifty times, mirroring the number of times he was shot. Edition number 35 of 50. Signed by the artist. ""Dedicated to Sean Bell, victim of a 2006 police shooting in Queens, this poignant and understated artist’s book consists of two basic elements: a scaled-down reproduction of the New York Post’s front page coverage of the incident, and fifty holes punched through all 36 pages. Bound only by the tension created by the book’s holes, which represent the fifty gunshots that killed Bell, each book comes in a vellum envelope."" -- Printed Matter, Inc","['deaths', 'police officers', 'violence']",,,,,Back East Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2858,69 ; A Ti O Tem Pojma Nimas,Perfect bindings,182,FA.B89.1345,Fine Art Collection,loose leaves (n.p.) ; 27 x 19 cm.,NA,,"Perfect bound title; black dust jacket with fuchsia flowers. This title by Bojan Meserko intends to continue the work of Raymond Queneau's ""Cent Mille Milliards de Poemes"" as well as the work of Julio Cortazar ""Rayuel"". The book presents a concept of non-linear reading and can be read in 276! combinations.",,loose-leaf bindings,,,,Zalozniski atelje Blodnjak,,,,,,,,,,,,,,,,Bojan Meserko,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,70 Instructions on How to Make Certain Drawings,Books,177,FA.B6.0200,Fine Art Collection,71 leaves; 13.5 x 21.3 cm (5 3/8 x 8 1/2 inches),1979,Irene Siegel,"Edition of 500; Spiral bound book with clear plastic covers. Contains text and images, some in color. Printed on Vicksburg Vellum with plastic covers.","['offset lithography', 'private presses', 'spiral bindings']",,,,,Visual Studies Workshop Press,,,,,,,,Rochester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5410,"78 years, the average American life",Books,177,FA.B54.1942,Fine Art Collection,8.5 x 11 in; 21.59 x 27.94 cm,2013,Seldon Yuan,"78 pages of offset printed grid paper and chip board bound with glue. Edition 40 of 50. Signed by the artist. ""Each page of the notepad has a grid of either 365 or 366 squares. With each square representing a day, each page represents either a leap or non-leap year, culminating with a notepad of 78 pages/years - the average American life span between men and women."" -- artist's website",,,,Artist's website,,,Center for Book Arts Workspace Artist-in-Residence 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
